City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
269,Maragogi,BR,2022-03-14 02:31:43,-9.0122,-35.2225,78.67,83,100,5.41
270,Slobidka,UA,2022-03-14 02:31:43,47.8869,29.3461,26.04,93,11,3.02
271,Faya,SA,2022-03-14 02:31:44,18.3851,42.4509,55.51,85,8,1.5
272,Yar-Sale,RU,2022-03-14 02:31:44,66.8333,70.8333,-2.47,100,100,7.11
273,Fare,PF,2022-03-14 02:31:44,-16.7,-151.0167,81.99,72,13,10.29
274,Shellbrook,CA,2022-03-14 02:31:45,53.2168,-106.4011,16.83,93,100,5.97
275,Saskylakh,RU,2022-03-14 02:31:45,71.9167,114.0833,-9.29,96,93,3.24
276,Bure,ET,2022-03-14 02:31:45,10.7,37.0667,60.42,66,100,3.09
277,Ardesen,TR,2022-03-14 02:31:45,41.1911,40.9875,34.27,94,100,4.74
278,Naklo Nad Notecia,PL,2022-03-14 02:31:46,53.1421,17.6018,33.44,85,0,9.26
279,Touros,BR,2022-03-14 02:31:46,-5.1989,-35.4608,79.81,81,94,7.11
280,Jibuti,DJ,2022-03-14 02:31:46,11.5,42.5,69.03,83,64,7.83
281,Mpika,ZM,2022-03-14 02:31:47,-11.8343,31.4529,61.18,98,100,3.06
282,Boguchany,RU,2022-03-14 02:31:47,58.3814,97.4531,-2.67,92,95,4.03
283,Binga,ZW,2022-03-14 02:31:47,-17.6203,27.3414,70.5,77,57,3.29
284,Tazovskiy,RU,2022-03-14 02:31:48,67.4667,78.7,-10.95,100,100,6.69
285,Torbay,CA,2022-03-14 02:31:48,47.6666,-52.7314,24.58,57,40,36.82
286,Deputatskiy,RU,2022-03-14 02:31:48,69.3,139.9,-8.41,96,100,2.08
287,Abu Zabad,SD,2022-03-14 02:31:49,12.35,29.25,68.05,16,4,12.95
288,Gazojak,TM,2022-03-14 02:31:49,41.1875,61.4036,46.98,42,100,13.42
289,Ilulissat,GL,2022-03-14 02:31:49,69.2167,-51.1,5.02,78,20,0.0
